System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
11:12:28.262, 0.000, 0.405, 0.398, 0.000, 0.012, 1537, 1929, 0, 48, 48, 48, 47, 9.031, 9.950, 8.571, 1.000
11:12:29.257, 0.995, 0.433, 0.420, 0.000, 0.018, 1277, 2020, 0, 48, 48, 48, 47, 8.809, 11.616, 7.412, 10.000
11:12:30.254, 1.992, 0.239, 0.242, 0.000, 0.000, 975, 1773, 0, 47, 47, 47, 47, 7.095, 6.533, 7.375, 0.000
11:12:31.255, 2.993, 1.752, 1.760, 0.000, 0.014, 1041, 2625, 0, 47, 47, 47, 47, 8.598, 7.769, 9.011, 1.000
11:12:32.276, 4.014, 7.348, 7.438, 0.000, 0.002, 1326, 3399, 0, 47, 52, 62, 47, 15.460, 6.112, 20.122, 0.000
11:12:33.256, 4.994, 7.105, 7.190, 0.000, 0.002, 1338, 3403, 0, 47, 52, 73, 47, 14.805, 5.974, 19.221, 2.000
11:12:34.255, 5.993, 7.093, 7.178, 0.000, 0.002, 971, 3403, 0, 47, 53, 74, 48, 15.680, 8.291, 19.351, 0.000
11:12:35.256, 6.994, 7.013, 7.098, 0.000, 0.002, 968, 2718, 0, 47, 53, 71, 48, 15.628, 7.731, 19.576, 0.000
11:12:36.257, 7.995, 7.060, 7.146, 0.000, 0.002, 968, 3402, 0, 48, 53, 74, 48, 15.289, 6.716, 19.554, 0.000
11:12:37.247, 8.985, 0.162, 0.162, 0.000, 0.002, 962, 1519, 0, 49, 49, 49, 48, 8.136, 7.653, 8.376, 1.000
11:12:38.255, 9.993, 0.247, 0.246, 0.000, 0.004, 953, 1820, 0, 48, 48, 48, 48, 7.007, 6.948, 7.037, 0.000
11:12:39.261, 10.999, 0.255, 0.256, 0.000, 0.002, 965, 1792, 0, 48, 48, 48, 48, 7.654, 8.750, 7.107, 1.000
11:12:40.254, 11.992, 0.249, 0.250, 0.000, 0.002, 965, 1779, 0, 48, 48, 48, 48, 7.538, 8.586, 7.018, 0.000
11:12:41.271, 13.009, 6.973, 7.062, 0.000, 0.002, 969, 3400, 0, 47, 51, 66, 48, 14.943, 8.354, 18.249, 1.000
11:12:42.256, 13.994, 6.881, 6.966, 0.000, 0.002, 968, 3402, 0, 48, 53, 72, 48, 15.365, 7.417, 19.314, 0.000
11:12:43.255, 14.993, 7.040, 7.126, 0.000, 0.002, 968, 3402, 0, 48, 53, 65, 48, 15.404, 6.767, 19.701, 0.000
