File 1,File 2,Model Prediction
slow_samples/Law-of-cosines---triples/law-of-cosines---triples-2.py,slow_samples/Law-of-cosines---triples/law-of-cosines---triples-1.py,1
slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-5.py,slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-3.py,1
slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-5.py,slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-2.py,1
slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-5.py,slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-1.py,1
slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-5.py,slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-4.py,1
slow_samples/Greedy-algorithm-for-Egyptian-fractions/greedy-algorithm-for-egyptian-fractions-2.py,slow_samples/Greedy-algorithm-for-Egyptian-fractions/greedy-algorithm-for-egyptian-fractions-1.py,1
slow_samples/Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors/numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors-2.py,slow_samples/Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors/numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors-1.py,1
slow_samples/Super-d-numbers/super-d-numbers-1.py,slow_samples/Super-d-numbers/super-d-numbers-2.py,2
slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-2.py,slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-5.py,2
slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-2.py,slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-1.py,1
slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-2.py,slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-4.py,2
slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-2.py,slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-3.py,2
slow_samples/Perfect-numbers/perfect-numbers-3.py,slow_samples/Perfect-numbers/perfect-numbers-4.py,1
slow_samples/Perfect-numbers/perfect-numbers-3.py,slow_samples/Perfect-numbers/perfect-numbers-1.py,2
slow_samples/Perfect-numbers/perfect-numbers-3.py,slow_samples/Perfect-numbers/perfect-numbers-2.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-15.py,2
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-11.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-14.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-1.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-5.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-4.py,2
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-7.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-3.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-2.py,2
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-6.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-18.py,1
